Packet Length,Node Distance,Average Packet Loss Rate,Packet 95% Lower,Packet 95% Upper,Packet 99% Lower,Packet 99% Upper,Average Goodput,Goodput 95% Lower,Goodput 95% Upper,Goodput 99% Lower,Goodput 99% Upper
 100,35,0.26068887999999996,0.2604382255302303,0.2609395344697696,0.26035710162940906,0.26102065837059085,0.36965556,0.36953023276511515,0.36978088723488484,0.3694896708147046,0.3698214491852954
200,35,0.3632739730958922,0.36295320409110593,0.3635947421006785,0.3628493877380414,0.36369855845374305,0.4244840179360718,0.4242701719328811,0.42469786393926257,0.42420096103083815,0.4247670748413055
300,35,0.45175536,0.45135466282440817,0.4521560571755918,0.4512249778522554,0.4522857421477446,0.4111834799999999,0.410882957118306,0.41148400288169373,0.4107856933891914,0.41158126661080835
400,35,0.5277702,0.5273351789784341,0.5282052210215659,0.5271943851508152,0.5283460148491848,0.37778384000000015,0.37743582318274743,0.37813185681725286,0.3773231881206523,0.378244491879348
500,35,0.5934841357461719,0.5930346752892655,0.5939335962030783,0.5928892081624967,0.5940790633298471,0.33876322021152333,0.338388669830768,0.3391377705922787,0.33826744722512736,0.3392589931979193
600,35,0.6501654813238511,0.6496860075062708,0.6506449551414314,0.6495308266054095,0.6508001360422927,0.2998581588652713,0.2994471813073453,0.30026913642319725,0.29931416910660713,0.30040214862393544
700,35,0.6985488000000002,0.6980284776116537,0.6990691223883467,0.6978600761390364,0.6992375238609639,0.2637698,0.2633145179101968,0.2642250820898032,0.26316716662165673,0.26437243337834326
800,35,0.7403729704431727,0.7398548953636946,0.7408910455226508,0.7396872212288421,0.7410587196575034,0.23077958182829078,0.23031907064653245,0.2312400930100491,0.23017002697110803,0.23138913668547353
900,35,0.7763736,0.7758674359176133,0.7768797640823867,0.7757036167570911,0.7770435832429089,0.20126376,0.200808212325852,0.20171930767414803,0.200660775081382,0.20186674491861803
